# of boards ttl,,,,5,Green MEANS OK,,,
,,,,,,,,
,,,,,,,,
Quantity per board,Need to order,Seller Stock No,Manufacturer,Manufacturer Part. No.,Description,Legend,Supplier,Direct Link
1,5,714-2334,FCI,10103592-0001LF,Micro USB socket,USBPOWER,RS Components,http://uk.rs-online.com/web/p/micro-usb-connectors/7142334/
1,5,628-3661,Microchip,TC1185-3.3VCT713,3.3V Regulator,U1,RS Components,http://uk.rs-online.com/web/p/low-dropout-voltage-regulators/6283661
3,15,741-4434,TDK,C1608X5R0J106M080AB,10 uF,"C1, C2, C13",RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/7414434
1,5, 213-2581,TE Connectivity,CRG0603F220K,220Kohm,R1,RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132531
3,15,213-2418,TE Connectivity,CRG0603F10K,10 Kohm,"R2, R4, R5",RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132418
3,15,213-2367,TE Connectivity,CRG0603F4K7,4.7Kohm,"R6, R8, R9",RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132367
1,5,213-2222,TE Connectivity,CRG0603F470R,470ohm,R7,RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132222
5,25,264-4630,Kemet,C0603C104K4RAC,100nF,"C7, C9, C10, C11, C12",RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/2644630
1,5,464-6391,AVX,06035A101JAT2A,100pF,C4,RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/4646391
1,5,749-2059,Murata,GRM31CR60G107ME39L,100uF,C8,RS Components,http://uk.rs-online.com/web/p/ceramic-multilayer-capacitors/7492059
1,5,667-6120,EPSON TOYOCOM,"MC-306, 32.768kHz, 20ppm, 6pF",Crystal,Q1,RS Components,http://uk.rs-online.com/web/p/crystal-units/6676120
2,10, 220-4260,Phoenix Contact,MPT 0.5/ 2-2.54,Screw Terminal 2-way,"X1, X2",RS Components,http://uk.rs-online.com/web/p/pcb-terminal-blocks/2204260
1,5,786-5554,Sensirion,SHT21,SHT21,SHT21,RS Components,http://uk.rs-online.com/web/p/temperature-humidity-sensors/7865554/
1,5,681-2537,TE Connectivity,826947-6,FTDI 90 angle header,FTDI,RS Components,http://uk.rs-online.com/web/p/pcb-headers/6812537
1,5,674-2450,ASSMANN WSW,A 28-LC/7-T,28 pin IC Socket,IC1,RS Components,http://uk.rs-online.com/web/p/dil-sockets/6742450
2,10,251-8086,RS,W81102T3825RC,Jumper pin,"JP1, JP2",RS Components,http://uk.rs-online.com/web/p/pcb-headers/2518086
2,10,680-1461,TE Connectivity,1-881545-1,Jumper cap,"[fit to JP1, JP2]",RS Components,http://uk.rs-online.com/web/p/jumpers-shunts/6801461
1,5,826-515,Avago Technologies,HLMP-K150,LED RED,LED,RS Components,http://uk.rs-online.com/web/p/visible-leds/0826515
1,5,700-0776,Vishay,TEPT4400,60Â° Visible Light Phototransistor,PHT,RS Components,http://uk.rs-online.com/web/p/phototransistors/7000776/
2,10,758-1991,Alps,SKHHLQA010,Learn,"S1, S2",RS Components,http://uk.rs-online.com/web/p/tactile-switches/7581991
1,5,263-3006,Alps,RK09K1110A96,Pot. Meter,R11,RS Components,http://uk.rs-online.com/web/p/potentiometers/2633006
1,5,213-2266,TE Connectivity,CRG0603F1K0,1Kohm,R10,RS Components,http://uk.rs-online.com/web/p/surface-mount-fixed-resistors/2132266
1,5,119-2958,Apem,1415NC RED,Mode button,Mode,RS Components,http://uk.rs-online.com/web/p/push-button-switches/1192958
1,5,712-5320,,,84mm* of insulated semi-flexible antenna wire (~0.33sqmm). *Depends on PCB track length.,ANT,,http://uk.rs-online.com/web/p/hookup-equipment-wire/7125320
1,5,696-2260,Atmel,ATMEGA328P-PU,ATmega328P-PU,IC1,RS Components,http://uk.rs-online.com/web/p/microcontrollers/6962260
1,5,RFM23-868-S1,HopeRF,RFM23-868-S1,RFM23B,RFM23,ideetron.nl,http://www.hoperf.nl/RFM23B
1,5,,,,5*5cm Prototype Board,MAIN Board,Itead Studio,
,,,,,,,,
EXPERIMENTATION:,,,,,,,,
0,0,,,,,R3,NOT FITTED,